zinc_id,smiles
ZINC000000001084,Cn1c(=O)c2c(ncn2C)n(C)c1=O
ZINC000000001217,CN1C(=O)CC[C@@H]1c1cccnc1
ZINC000000002151,Cn1cnc2c1c(=O)[nH]c(=O)n2C
ZINC000000006047,CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C
ZINC000000006556,N=C(O)OC[C@@H](CO)c1ccccc1
ZINC000000020255,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
ZINC000000031164,c1cncc([C@H]2CCCCN2)c1
ZINC000000031165,c1cncc([C@@H]2CCCCN2)c1
ZINC000000039112,NCCc1cc(O)c(O)cc1O
ZINC000000057344,COc1cc2c(CCNC(C)=O)c[nH]c2cc1O
ZINC000000058117,O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
ZINC000000066104,CC(=O)NCCc1c[nH]c2ccc(O)cc12
ZINC000000083860,O=C(O)Cc1c[nH]c2ccccc12
ZINC000000085742,COc1cc(C[C@H](N)C(=O)O)ccc1O
ZINC000000120234,Cn1c(=O)[nH]c2ncn(C)c2c1=O
ZINC000000121456,CNc1c(C)n(C)n(-c2ccccc2)c1=O
ZINC000000154564,O=C(O)CCc1ccccc1
ZINC000000206825,O=C(O)CNC(=O)c1ccncc1
ZINC000000254441,CC(=O)NNC(=O)c1ccncc1
ZINC000000391789,Cn1cnc2[nH]c(=O)[nH]c(=O)c21
ZINC000000391812,CN1CCC[C@H]1c1cccnc1
ZINC000000395560,C[N+](C)(C)CCCC(=O)O
ZINC000000402766,CN1C(=O)CC[C@H]1c1cccnc1
ZINC000000402946,C[C@]12CC[C@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CC[C@@H]2O
ZINC000000404287,Cc1cccc(C(=O)O)c1N
ZINC000000621828,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CCN2C)cc1OC
ZINC000000621833,COc1ccc(C[C@H]2c3cc(OC)c(OC)cc3CCN2C)cc1OC
ZINC000000839083,Cc1c(OCC(F)(F)F)ccnc1C[S@@](=O)c1nc2cc(O)ccc2[nH]1
ZINC000000895042,N[C@@H](CS)C(=O)O
