@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithouNans50_WithoutNames-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATS1m numeric
@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS5c numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS1c numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute RotBtFrac numeric
@attribute EE_D numeric
@attribute MWC10 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data

0.067478,0.009939,0.206155,0.466085,0.361831,0.331168,0.568898,0.616658,0.222165,0.36584,0.354312,0.052739,0.885462,0.485902,0.226006,0.159155,0.744335,0.046367,0.000001,0.377924,0.853833,0.780751,0.291981,0.272727,0.028075,0.325665,0.232866,0,1
0.342591,0.054663,0.305677,0.581456,0.559293,0.678344,0.351328,0.633613,0.367355,0.261215,0.327069,0.214392,0.270746,0.482724,0.452229,0.017761,0.561088,1,0.000034,0.857244,0.86144,0.86144,0.094587,0.491803,0.638546,0.733496,0.080444,0,1
0.184141,0.032601,0.215094,0.749267,0.524576,0.454354,0.339707,0.524478,0.192417,0.184139,0.132379,0.157583,0.275113,0.384036,0.360417,0.185703,0.79864,0.638537,0.000037,0.662394,0.827854,0.872419,0.151256,0.216216,0.260472,0.634741,0.208304,0,1
0.085985,0.009743,0.196498,0.541045,0.536502,0.482024,0.410202,0.540763,0.339544,0.255493,0.280412,0.205564,0.251954,0.398109,0.385914,0.017668,0.485778,0.158296,0.000003,0.5676,0.91931,0.91931,0.190821,0.25,0.096833,0.496578,0.19591,0,1
0.244814,0.030252,0.234732,0.654646,0.608469,0.610326,0.421025,0.475134,0.375436,0.274572,0.375154,0.233165,0.33756,0.546086,0.3766,0.159158,0.58387,0.529898,0.000009,0.710579,0.944348,0.944348,0.265102,0.307692,0.342522,0.660322,0.264285,0,1
0.135737,0.019891,0.273739,0.616622,0.570144,0.6972,0.424857,0.510908,0.328769,0.289964,0.372059,0.195528,0.313313,0.560908,0.375395,0.159149,0.616071,0.297133,0.000004,0.629493,0.929972,0.916949,0.226786,0.333333,0.172729,0.597882,0.211487,0,1
0.180622,0.029592,0.173936,0.581056,0.323604,0.496302,0.337905,0.745898,0.344805,0.306639,0.391229,0.184679,0.329845,0.48223,0.344719,0.185692,0.62742,0.419667,0.000008,0.620896,0.862939,0.862939,0.325564,0.333333,0.222454,0.681523,0.263438,0,1
0.045809,0.010269,0.280098,0.573233,0.649183,0.77006,0.386699,0.520293,0.33173,0.23131,0.332011,0.14781,0.251581,0.522628,0.358428,0.017671,0.574051,0.061711,0.000002,0.371135,0.559947,0.530368,0.091142,1,0.068154,0.188258,0.040582,0,1
0.171756,0.021271,0.292515,0.634277,0.685509,0.701569,0.273356,0.422845,0.392717,0.341948,0.34187,0.195093,0.423838,0.507703,0.421795,0.017695,0.677058,0.6946,0.000024,0.646369,0.825717,0.825717,0.137923,0.305556,0.226102,0.725472,0.163786,0,1
0.140406,0.017297,0.2631,0.546835,0.766272,0.662589,0.296804,0.404465,0.345861,0.324623,0.344731,0.251146,0.34637,0.490783,0.425154,0.044258,0.594296,0.362126,0.000004,0.630428,0.863268,0.863268,0.164433,0.266667,0.165697,0.643381,0.159842,0,1
0.145932,0.018463,0.293232,0.509769,0.771647,0.709232,0.334817,0.393402,0.365562,0.396352,0.373113,0.248785,0.477451,0.462921,0.462552,0.044263,0.596484,0.378177,0.000004,0.575674,0.772631,0.772631,0.18562,0.290323,0.175421,0.661226,0.169611,0,1
0.115308,0.015131,0.207464,0.572325,0.494997,0.444932,0.497188,0.633184,0.33065,0.287597,0.336889,0.279512,0.516286,0.504187,0.357956,0.159149,0.749746,0.139789,0.000005,0.510009,0.851078,0.831874,0.247345,0.315789,0.087957,0.478036,0.209926,0,1
0.02795,0.003161,0.218217,0.166139,0.423536,0.442525,0.413584,0.535855,0.548783,0.688237,0.556658,0.027457,0.899159,0.559591,0.255259,0.017675,0.542194,0.049138,0.000003,0.453528,0.960706,0.960706,0.160675,0.363636,0.027615,0.316671,0.204038,0,1
0.121203,0.01556,0.175019,0.607187,0.486061,0.480509,0.421567,0.584247,0.339103,0.216679,0.334391,0.23878,0.218834,0.545445,0.418697,0.044258,0.537661,0.262615,0.000005,0.581184,0.823477,0.823477,0.177956,0.269231,0.169335,0.526996,0.160158,0,1
0.111821,0.013339,0.258714,0.553925,0.782399,0.656247,0.352993,0.397241,0.343349,0.343446,0.323231,0.261407,0.373393,0.459051,0.449356,0.044243,0.586951,0.286716,0.000003,0.555066,0.814663,0.814663,0.188567,0.24,0.131116,0.569797,0.177963,0,1
