@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithouNans50_WithoutNames

@attribute ATS1m numeric
@attribute AATS5m numeric
@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS5c numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS1c numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTc-1l numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute RotBtFrac numeric
@attribute EE_D numeric
@attribute MWC10 numeric
@attribute AMW numeric
@attribute Class {0,1}

@data

2998.720339,45.276143,1245.172896,-1.026279,-0.172492,-0.236947,-0.246948,1.783813,1.12203,0.646333,1.422829,1.181528,0.282588,3.142383,1.043605,0.588594,31.972745,-0.302495,5.677276,45.913534,4.050972,3.616349,0.90088,0.851321,24.235402,0.272727,28.501912,10.657753,9.054245,1
10984.122573,44.849741,4986.57969,1.268444,-0.006329,-0.05216,0.032956,1.454155,1.150147,1.068728,1.015919,1.09068,1.148759,0.96084,1.036824,1.177754,16.008407,-0.407534,4.279353,709.782713,43.669491,6.421519,0.906039,0.906039,13.400004,0.491803,456.417745,12.976933,6.136363,1
6384.957643,80.008307,3140.973747,-0.820159,0.23536,-0.084649,-0.147632,1.436547,0.969169,0.559788,0.716157,0.441444,0.844367,0.976339,0.82622,0.938645,34.970157,-0.280384,6.091553,458.151034,47.325559,5.281182,0.883263,0.913484,16.510672,0.216216,191.402999,12.415348,8.584039,1
3535.913368,61.011365,1228.830728,-1.248951,-0.064532,-0.073488,-0.125323,1.543359,0.996174,0.987818,0.993664,0.935092,1.10146,0.894151,0.856252,1.005049,15.997935,-0.393073,3.704835,123.832775,6.871778,4.72641,0.945282,0.945282,18.682509,0.25,76.69848,11.629668,8.346774,1
8146.053313,94.073456,2944.451406,-0.367352,0.099083,-0.006141,-0.021882,1.559758,0.887342,1.092237,1.067868,1.251028,1.249351,1.197954,1.172041,0.980792,31.973075,-0.349779,4.453143,382.522187,13.995521,5.563178,0.962261,0.962261,22.759922,0.307692,248.916755,12.560816,9.655717,1
4979.987629,75.575501,2077.703192,0.532041,0.044319,-0.042006,0.048158,1.565565,0.946666,0.956472,1.127729,1.240708,1.047683,1.111904,1.203671,0.977654,31.972072,-0.360541,4.698795,220.483973,7.996932,5.08863,0.952512,0.943681,20.656707,0.333333,129.898437,12.205748,8.644974,1
6282.813916,91.925437,2889.280811,-1.769168,-0.006905,-0.27272,-0.113812,1.433817,1.336349,1.003123,1.192585,1.304633,0.989554,1.170575,1.035769,0.897763,34.968854,-0.349608,4.785373,305.785207,12.664456,5.038319,0.907055,0.907055,26.078815,0.333333,164.753524,12.681378,9.639493,1
2369.762989,21.558473,1272.822988,0.678665,-0.018172,0.03196,0.1069,1.507748,0.96223,0.965085,0.899613,1.107158,0.791998,0.892827,1.12198,0.933464,15.998262,-0.419465,4.378237,56.595429,5.333033,3.576618,0.701588,0.68153,13.210899,1,56.595429,9.876373,5.373257,1
6025.485124,63.357767,2193.171421,0.964968,0.069746,0.065954,0.051681,1.336012,0.800632,1.142511,1.329907,1.140037,1.045351,1.504144,1.090129,1.098493,16.000966,-0.373755,5.164044,497.179432,31.650976,5.187396,0.881814,0.881814,15.7788,0.305556,167.310762,12.931302,7.731815,1
5115.528126,71.840019,1860.741331,0.286736,-0.056192,0.141532,0.020254,1.37154,0.770152,1.006197,1.262527,1.149575,1.345696,1.229221,1.054023,1.107242,19.000136,-0.34544,4.532681,265.72839,8.195141,5.094102,0.907278,0.907278,17.234007,0.266667,124.969467,12.464479,7.656315,1
5275.916103,74.437168,1958.27652,0.981499,-0.109576,0.146562,0.057859,1.429138,0.751806,1.063511,1.541495,1.244223,1.333047,1.694409,0.994564,1.204639,19.000609,-0.327743,4.549374,276.902173,7.767186,4.773661,0.845815,0.845815,18.397008,0.290323,131.785422,12.565958,7.84332,1
4387.038431,73.878465,1679.582371,-0.996096,-0.01948,-0.112329,-0.155228,1.675159,1.149436,0.961944,1.118525,1.123425,1.49769,1.832227,1.082626,0.932236,31.972072,-0.337094,5.718557,110.948903,9.491753,4.389365,0.899012,0.885989,21.785224,0.315789,70.476657,11.524231,8.615089,1
1851.392251,33.06545,678.231304,-0.748167,-0.60449,-0.179203,-0.157169,1.548484,0.988036,1.596547,2.676698,1.856292,0.147119,3.190991,1.200861,0.664778,15.998704,-0.359614,4.135213,47.842631,7.456415,4.058814,0.973354,0.973354,17.027725,0.363636,28.179417,10.60661,8.502366,1
4558.13743,56.60963,1715.44739,-1.74419,0.030729,-0.120691,-0.126545,1.560579,1.068284,0.986535,0.842711,1.115095,1.279439,0.776611,1.170672,1.090425,19.000136,-0.378483,4.100631,196.454334,9.847871,4.805911,0.880295,0.880295,17.976276,0.269231,127.519438,11.802643,7.662359,1
4285.820257,71.864522,1529.669344,0.185602,-0.045981,0.156624,0.015141,1.456678,0.758173,0.998889,1.335734,1.07788,1.400679,1.325119,0.986305,1.170271,18.998407,-0.346486,4.476653,213.231625,7.472376,4.653056,0.874318,0.874318,18.558779,0.24,100.729153,12.046039,8.003212,1
3009.628522,61.235153,1043.832351,-0.771978,-0.181386,0.078816,-0.120286,1.422645,0.796982,1.063746,1.357778,0.941807,1.223522,1.63358,0.994287,1.149498,15.998708,-0.346456,4.464153,132.143164,31.588027,4.461092,0.918302,0.918302,15.993537,0.277778,57.299823,11.658851,8.002924,1
