@relation amps_padel2d_WithoutNans50_WithoutNames-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATS1m numeric
@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS5c numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS1c numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute RotBtFrac numeric
@attribute EE_D numeric
@attribute MWC10 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data

0.135481,0.249589,0.381162,0.560351,0.374054,0.392577,0.633551,0.806507,0.462876,0.458181,0.348473,0.341513,0.356003,0.175857,0.49957,0.000827,0.164674,0,0.003562,0.649355,0.774332,0.723385,0.261452,0.700463,1,0.384943,0.598064,0.013821,1
0.180811,0.000351,0.500806,0.466191,0.77747,0.760518,0.188805,0.561582,0.760858,0.831122,0.573705,0.425716,0.565955,0.67839,0.697308,0.000202,0.817395,0,0.001884,0.440055,0.671642,0.667678,0.203146,0.340451,1,0.572417,0.510323,0.022827,1
0.334231,0.006169,0.506478,0.633554,0.687137,0.656519,0.169565,0.612897,0.590649,0.659028,0.444984,0.32803,0.375654,0.66938,0.485895,0.001195,0.837557,0,0.003451,0.720731,0.806356,0.81919,0.335205,0.576209,1,0.635161,0.463143,0.094259,1
0.152127,0.280523,0.586101,0.588907,0.546641,0.722498,0.774934,0.755469,0.562724,0.551462,0.627725,0.698595,0.763953,0.119403,0.480949,0.00026,0.813484,0,0.010575,0.457985,0.513383,0.49367,0.077474,0.796346,1,0.391192,0.187163,0.016221,1
0.10391,0.231643,0.435685,0.611064,0.358055,0.467017,0.873195,0.841372,0.565799,0.418531,0.512156,0.485905,0.468969,0.200046,0.583445,0.000132,0.804439,0,0.00198,0.585342,0.679409,0.674482,0.196664,0.807969,1,0.299696,0.351271,0.010096,1
0.071995,0.195657,0.452115,0.422906,0.440852,0.499862,0.733369,0.776537,0.669263,0.417708,0.612769,0.33125,0.401053,0.207784,0.479593,0.000189,0.52013,0,0.027785,0.663747,0.848774,0.803686,0.20244,0.579362,1,0.345018,0.422027,0.00469,1
0.20511,0.361927,0.591728,0.727315,0.485529,0.659819,0.712636,0.706012,0.483814,0.494919,0.451822,0.521021,0.464306,0.107614,0.412901,0.999424,0.844733,0,0.009009,0.520447,0.569919,0.526295,0.329628,0.901819,1,0.439899,0.410324,0.032693,1
0.121271,0.243867,0.466018,0.601643,0.428436,0.525089,0.586142,0.691551,0.429156,0.526876,0.372755,0.33137,0.577951,0.177137,0.370819,0.999424,0.698284,0,0.00149,0.749773,0.90306,0.862936,0.419294,0.396476,1,0.435492,0.759812,0.010129,1
0.219274,0.342127,0.670772,0.436132,0.599286,0.746082,0.673535,0.722897,0.698767,0.499147,0.709708,0.426325,0.326871,0.155225,0.345433,0.000906,0.669911,0,0.005282,0.569495,0.542102,0.553152,0.149455,0.800242,1,0.515727,0.29619,0.035802,1
0.596058,0.027608,0.41354,0.320108,0.468586,0.43468,0.178358,0.322647,0.374802,0.425654,0.383096,0.151505,0.207559,0.557818,0.351597,0.999362,0.240423,?,?,0.684512,0.586599,0.654924,0.500136,0.729974,1,0.779252,0.517094,0.299792,1
0.187224,0.296407,0.509129,0.45456,0.511278,0.566244,0.676237,0.748042,0.59981,0.445983,0.521698,0.329956,0.397146,0.207297,0.450584,0.000709,0.609767,0,0.001957,0.774422,0.792431,0.779229,0.203538,0.618452,1,0.479812,0.444084,0.024047,1
0.189194,0.004523,0.444391,0.648889,0.535739,0.489673,0.173781,0.517797,0.359149,0.600269,0.270894,0.136927,0.310188,0.600952,0.155592,0.001224,0.309271,0,0.003193,0.723249,0.896936,0.943396,0.441236,0.661077,1,0.504,0.587039,0.032459,1
0.233184,0.025697,0.513277,0.635593,0.580558,0.732919,0.216331,0.363703,0.186731,0.28274,0.504465,0.321683,0.328711,0.736417,0.499791,0.999424,0.892347,0,0.002476,0.606491,0.740222,0.781668,0.470256,0.703382,1,0.545318,0.314,0.04676,1
0.839566,0.046635,0.404881,0.430546,0.478432,0.434787,0.257307,0.362673,0.261638,0.360998,0.369382,0.181004,0.246789,0.556834,0.305165,0.999426,0.245462,?,?,0.705313,0.532951,0.598886,0.557288,0.803875,1,0.876005,0.471971,0.746021,1
0.374548,0.483309,0.641879,0.528324,0.551639,0.650262,0.731328,0.752702,0.608564,0.516327,0.600731,0.525221,0.469592,0.188582,0.43808,0.001392,0.520761,0,0.003203,0.68263,0.613192,0.562874,0.146468,0.799099,1,0.642351,0.284934,0.095743,1
0.261363,0.004649,0.469092,0.521289,0.604953,0.566718,0.193118,0.609608,0.644023,0.568923,0.48496,0.300321,0.277617,0.664073,0.569413,0.000985,0.259068,0,0.002852,0.569107,0.695206,0.716538,0.313806,0.711796,1,0.553284,0.336735,0.05395,1
0.581397,0.026075,0.498452,0.69604,0.572065,0.566093,0.180454,0.459175,0.498108,0.525759,0.315098,0.201269,0.396363,0.61829,0.238445,0.999362,0.438554,?,?,0.885561,0.793107,0.843258,0.521526,0.617769,1,0.813677,0.556342,0.314638,1
0.29321,0.406385,0.55872,0.466807,0.546925,0.585537,0.705013,0.726932,0.57069,0.458933,0.507551,0.402118,0.292203,0.173278,0.452998,0.001435,0.236924,0,0.003533,0.611883,0.592767,0.550999,0.18601,0.81281,1,0.559737,0.384387,0.059152,1
0.33658,0.465211,0.673281,0.625541,0.549048,0.71483,0.692452,0.699819,0.552169,0.526555,0.634347,0.522512,0.583717,0.138319,0.336902,0.999425,0.827674,0,0.00489,0.678157,0.627009,0.585655,0.220142,0.67228,1,0.619346,0.354328,0.075236,1
0.150883,0.302042,0.44184,0.62379,0.352771,0.477915,0.794031,0.758656,0.518146,0.421814,0.549316,0.390439,0.373265,0.09257,0.430205,0.999424,0.44634,0,0.002412,0.574212,0.653955,0.630437,0.392042,0.887775,1,0.359864,0.470551,0.015817,1
0.26614,0.391405,0.71449,0.51316,0.635563,0.820008,0.785395,0.719531,0.651771,0.577486,0.77158,0.76347,0.841225,0.117457,0.488967,0.000529,0.821591,0,0.001522,0.386837,0.334191,0.350369,0.039058,0.825861,1,0.543839,0.09365,0.045064,1
0.772253,0.040185,0.553231,0.501473,0.553988,0.636841,0.190728,0.195477,0.272065,0.262167,0.470559,0.270336,0.374156,0.626147,0.508811,0.999426,0.262228,?,?,0.833572,0.688005,0.729469,0.423138,0.613052,1,0.879994,0.43541,0.538121,1
0.271228,0.374668,0.560945,0.442339,0.575871,0.600716,0.660529,0.72161,0.604539,0.481133,0.576953,0.392065,0.423975,0.234971,0.35199,0.001107,0.255323,0,0.004211,0.760157,0.719625,0.697492,0.168996,0.630414,1,0.587536,0.386685,0.047611,1
0.516967,0.034898,0.508239,0.550763,0.565756,0.601573,0.199473,0.422657,0.237438,0.286982,0.384321,0.242786,0.317718,0.641999,0.322325,0.999425,0.244394,0,0.008569,0.708616,0.649861,0.708333,0.547026,0.721867,1,0.712015,0.484428,0.250171,1
0.469348,0.505194,0.469727,0.534727,0.394894,0.497681,0.574129,0.799458,0.495786,0.465119,0.401487,0.396558,0.523692,0.195443,0.468119,0.00187,0.255554,0,0.007185,0.870954,0.74168,0.710035,0.203354,0.473559,1,0.732999,0.592797,0.133566,1
0.117969,0.2519,0.546478,0.471697,0.567436,0.647339,0.733049,0.736892,0.630999,0.510904,0.645224,0.458096,0.397471,0.135421,0.432461,0.000445,0.247047,0,0.00167,0.531824,0.644906,0.598462,0.137988,0.850174,1,0.363795,0.266712,0.012118,1
0.447341,0.546189,0.573467,0.554886,0.482971,0.584072,0.81471,0.786495,0.595882,0.479537,0.602627,0.541066,0.468176,0.221135,0.441986,0.001349,0.475528,0,0.010013,0.701525,0.574052,0.548608,0.159664,0.798345,1,0.652634,0.29428,0.138476,1
0.474471,0.011732,0.442803,0.440663,0.526713,0.480745,0.270841,0.606001,0.53507,0.574083,0.403529,0.193689,0.282581,0.660193,0.389384,0.002226,0.235244,0,0.006182,0.690391,0.666759,0.706284,0.422389,0.796849,1,0.706532,0.369955,0.185571,1
0.228548,0.361365,0.553544,0.680967,0.41953,0.605602,0.679933,0.78595,0.576873,0.517838,0.540785,0.472741,0.434587,0.110253,0.453654,0.999361,0.867662,0,0.004148,0.490448,0.530745,0.486511,0.267803,0.854335,1,0.490653,0.394824,0.040478,1
0.425744,0.505805,0.521336,0.635659,0.362491,0.539374,0.652511,0.837349,0.514335,0.494526,0.443316,0.479168,0.494331,0.157138,0.451865,0.001795,0.111324,0,0.016041,0.726682,0.628273,0.591534,0.187822,0.691812,1,0.651212,0.449461,0.123742,1
0.275686,0.383227,0.45394,0.568071,0.447291,0.489038,0.665772,0.747974,0.544937,0.481177,0.423424,0.292214,0.34837,0.184506,0.485954,0.999361,0.369256,0,0.003063,0.762633,0.75548,0.713764,0.340076,0.674191,1,0.559425,0.583551,0.052063,1
0.162297,0.287165,0.578277,0.64408,0.4377,0.670932,0.668546,0.801554,0.569458,0.544542,0.504341,0.595471,0.617849,0.106988,0.497973,0.000641,0.804723,0,0.004658,0.538283,0.60459,0.569887,0.144894,0.790967,1,0.442154,0.31272,0.020256,1
0.407133,0.030121,0.489382,0.521976,0.506534,0.599207,0.241059,0.146686,0.345045,0.329649,0.487655,0.306933,0.320225,0.536231,0.544778,0.999425,0.224658,0,0.004966,0.583218,0.589369,0.647704,0.556723,0.788029,1,0.651493,0.355334,0.1246,1
0.187768,0.00089,0.520338,0.491366,0.829946,0.818116,0.082868,0.477055,0.67121,0.789431,0.505371,0.384366,0.519184,0.627887,0.607004,0.000328,0.102754,0,0.034812,0.53318,0.762994,0.76131,0.195902,0.226203,1,0.605129,0.601247,0.02207,1
0.253293,0.005217,0.4593,0.575686,0.572852,0.530798,0.193476,0.579712,0.507661,0.591338,0.382633,0.201852,0.300433,0.65022,0.365316,0.001175,0.25232,0,0.004341,0.680609,0.825087,0.838378,0.348244,0.674051,1,0.609663,0.355757,0.051301,1
0.187875,0.307107,0.497998,0.600543,0.405675,0.549227,0.686656,0.816753,0.530389,0.504518,0.453694,0.451793,0.449154,0.102583,0.507995,0.000836,0.250837,0,0.004735,0.579089,0.645637,0.591431,0.165844,0.765041,1,0.448721,0.379913,0.024388,1
0.232653,0.376527,0.616692,0.621762,0.531354,0.687828,0.667984,0.689867,0.496451,0.459227,0.527488,0.514636,0.454526,0.138801,0.334378,0.999424,0.884212,0,0.003686,0.60995,0.656714,0.591605,0.301337,0.782429,1,0.488299,0.435336,0.038973,1
0.217055,0.002996,0.513143,0.529474,0.758962,0.735876,0.167376,0.565739,0.66478,0.633889,0.500392,0.31795,0.347638,0.72219,0.609573,0.000717,0.524368,0,0.00332,0.673904,0.838722,0.862827,0.250345,0.567051,1,0.543654,0.37545,0.040209,1
0.152471,0.247375,0.526772,0.419101,0.423734,0.614117,0.495186,0.792385,0.586939,0.456084,0.56088,0.432139,0.531556,0.176895,0.399347,0.000511,0.921265,0,0.003526,0.695503,0.783514,0.755329,0.156126,0.387332,1,0.485622,0.535129,0.015139,1
0.0882,0.22608,0.505551,0.567572,0.472223,0.60579,0.89001,0.799551,0.677863,0.473849,0.737464,0.562917,0.332234,0.191002,0.438691,0.00013,0.771581,0,0.118643,0.449751,0.567052,0.548596,0.147752,0.906372,1,0.315175,0.229704,0.007795,1
0.15592,0.271954,0.409731,0.60622,0.383816,0.43384,0.683787,0.806031,0.528619,0.445278,0.442837,0.3557,0.229163,0.186288,0.359122,0.00083,0.234025,0,0.00186,0.632785,0.749889,0.678497,0.211399,0.719217,1,0.428663,0.500008,0.018629,1
0.114903,0.250743,0.493841,0.722643,0.448045,0.557921,0.780823,0.796796,0.560999,0.479295,0.423522,0.365951,0.44423,0.084426,0.598652,0.000571,0.126287,0,0.008048,0.384491,0.495934,0.4668,0.175693,0.899412,1,0.3381,0.318867,0.012852,1
0.280087,0.365126,0.559736,0.659022,0.42412,0.627959,0.704634,0.803332,0.563214,0.463571,0.606481,0.535528,0.58818,0.177322,0.422268,0.000596,0.462247,0,0.00395,0.760553,0.718271,0.697837,0.143522,0.545072,1,0.560645,0.40787,0.049109,1
0.170351,0.262945,0.50708,0.38988,0.487643,0.597712,0.730486,0.76471,0.636026,0.402774,0.669336,0.438027,0.619919,0.24437,0.427246,0.000136,0.797736,0,0.003402,0.686052,0.753794,0.721431,0.125921,0.387835,1,0.531813,0.426518,0.016462,1
0.327229,0.429768,0.634565,0.639922,0.44736,0.661678,0.685521,0.792365,0.645343,0.502785,0.649115,0.509809,0.375465,0.109793,0.445261,0.00125,0.248654,0,0.006677,0.583956,0.522034,0.509472,0.164352,0.736764,1,0.611969,0.345148,0.07445,1
0.065438,0.200256,0.498355,0.612144,0.409388,0.609631,0.654361,0.73401,0.432224,0.494523,0.417693,0.546165,0.560897,0.161419,0.338387,0.999361,0.824391,0,0.01874,0.697588,0.914687,0.857306,0.305018,0.602222,1,0.302365,0.52337,0.004306,1
0.130329,0.28998,0.359638,0.525518,0.379401,0.337177,0.768538,0.701363,0.386882,0.436314,0.402364,0.356458,0.368846,0.139687,0.367684,0.999487,0.615902,0,0.000834,0.687856,0.812002,0.773256,0.515297,0.790658,1,0.321223,0.651026,0.011596,1
0.06692,0.194618,0.412811,0.71193,0.317736,0.418358,0.612595,0.769639,0.395603,0.440034,0.315939,0.385513,0.367073,0.166232,0.355743,0.999361,0.262027,0,0.002139,0.653338,0.887365,0.828481,0.356036,0.541709,1,0.274323,0.705541,0.004601,1
0.155641,0.243438,0.583862,0.356616,0.611729,0.770136,0.608345,0.701371,0.626867,0.439538,0.724209,0.507661,0.808025,0.231882,0.370675,0.000071,0.818571,0,0.006045,0.618072,0.694671,0.675004,0.056877,0.267117,1,0.553407,0.41165,0.013157,1
0.41478,0.033301,0.45477,0.652169,0.51103,0.503495,0.162985,0.407243,0.207618,0.354011,0.358847,0.217177,0.276236,0.563488,0.252594,0.999425,0.483769,0,0.014396,0.601909,0.603869,0.656152,0.616317,0.918894,1,0.668085,0.391852,0.166585,1
0.153924,0.277269,0.495256,0.689313,0.432435,0.57194,0.583392,0.698035,0.441247,0.492309,0.505128,0.435362,0.494842,0.162073,0.256054,0.999424,0.611188,0,0.006559,0.726344,0.833991,0.789953,0.334894,0.438322,1,0.455503,0.636092,0.015577,1
0.524251,0.015254,0.40364,0.511929,0.469575,0.416957,0.184697,0.584324,0.423017,0.569948,0.319207,0.169083,0.277121,0.563527,0.23545,0.003098,0.141092,0,0.006654,0.687686,0.636844,0.684161,0.470075,0.775783,1,0.73598,0.525804,0.243624,1
0.219032,0.342311,0.676877,0.55858,0.534623,0.75455,0.661669,0.753969,0.639553,0.550938,0.569501,0.506471,0.504119,0.109174,0.507837,0.000905,0.102688,0,0.002926,0.538362,0.558014,0.524765,0.138413,0.800242,1,0.501997,0.284537,0.037045,1
0.210648,0.275944,0.560339,0.368217,0.507707,0.688094,0.596018,0.747587,0.649451,0.405134,0.681608,0.39687,0.681614,0.245157,0.395202,0.000201,0.465528,0,0.001545,0.652226,0.696586,0.671531,0.08387,0.173227,1,0.631522,0.510447,0.021635,1
0.092129,0.189093,0.430388,0.509032,0.317821,0.456035,0.532058,0.824375,0.583541,0.391594,0.533525,0.249793,0.398462,0.264129,0.276977,0.000252,0.779963,0,0.001233,0.690354,0.819973,0.835689,0.192679,0.229615,1,0.437879,0.643192,0.0063,1
0.256855,0.388095,0.583165,0.408328,0.598297,0.639687,0.684442,0.648331,0.559741,0.444212,0.558323,0.353221,0.42927,0.18026,0.389191,0.999424,0.801636,0,0.006202,0.792459,0.779303,0.744677,0.332824,0.633396,1,0.567604,0.469553,0.041187,1
0.574062,0.015072,0.439072,0.480699,0.520814,0.473604,0.247105,0.610855,0.495541,0.639642,0.37391,0.188354,0.353881,0.662864,0.32779,0.002864,0.261864,?,?,0.726248,0.641367,0.697563,0.458234,0.807049,1,0.769296,0.42689,0.318592,1
0.293209,0.005558,0.444997,0.54001,0.535465,0.490752,0.360046,0.644234,0.682367,0.575068,0.515071,0.223788,0.283728,0.711042,0.565371,0.001125,0.259858,0,0.003437,0.56338,0.634368,0.687892,0.396031,0.814642,1,0.577108,0.320602,0.072127,1
