@relation amps_padel2d_WithoutNans50_WithoutNames

@attribute ATS1m numeric
@attribute AATS5m numeric
@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute MATS5c numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS1c numeric
@attribute GATS3m numeric
@attribute GATS5m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS6e numeric
@attribute GATS7e numeric
@attribute GATS4p numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTc-1l numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute VR2_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute RotBtFrac numeric
@attribute EE_D numeric
@attribute MWC10 numeric
@attribute AMW numeric
@attribute Class {0,1}

@data

19235.638739,68.268385,8252.199205,-1.548304,0.117648,-0.046094,-0.024169,1.652188,1.020318,0.907435,1.069599,0.906112,1.067177,1.21478,0.942721,1.01972,16.018754,-0.394482,3.840181,709.782713,32.25266,6.486703,0.83677,0.837917,16.685608,0.72973,709.782713,12.944798,7.274519,1
22210.957398,170.564288,238.203861,1.643948,0.098988,0.087672,0.085323,1.404922,0.859513,1.102226,1.365384,1.102001,1.15622,1.367531,1.340292,1.107387,16.008766,-0.350029,4.40861,709.782713,24.115575,5.712232,0.788459,0.809639,16.062191,0.542254,709.782713,13.451133,7.085208,1
32280.967787,174.304496,425.260823,1.795281,0.132155,0.057719,0.054375,1.394225,0.893204,0.99096,1.228894,0.99005,1.052918,1.229077,1.333164,1.013657,16.024628,-0.394165,4.426168,709.782713,31.71632,6.750815,0.851836,0.886549,17.474187,0.665025,709.782713,13.620591,6.98341,1
20328.253122,57.549134,9246.826796,3.919725,0.123307,0.011133,0.074009,1.730793,0.986809,0.972706,1.143582,1.148984,1.444784,1.511585,0.898058,1.011464,16.009697,-0.361117,4.405204,709.782713,66.252254,5.778578,0.714005,0.72131,14.718479,0.779661,709.782713,12.961676,6.387952,1
17163.406698,56.73383,7675.16409,-0.093564,0.127698,-0.051399,-0.002017,1.785423,1.043208,0.974716,1.038152,1.048471,1.219868,1.296969,0.961857,1.056906,16.00764,-0.349996,4.397327,709.782713,24.584665,6.249838,0.792113,0.813093,15.992886,0.785714,709.782713,12.714561,6.742034,1
15068.613295,60.007825,6518.045072,0.344809,0.09041,-0.023945,0.007757,1.707684,1.000641,1.04235,1.0375,1.135976,1.056324,1.247556,0.967979,1.010863,16.008559,-0.361046,4.149733,709.782713,149.686572,6.539958,0.871792,0.878679,16.054646,0.666667,709.782713,12.836969,6.894698,1
23805.867755,62.255348,11864.282701,4.069857,0.150736,-0.009131,0.055357,1.696157,0.954338,0.921122,1.098737,0.995997,1.257003,1.293576,0.888731,0.981295,31.973085,-0.394917,4.432417,709.782713,58.661485,6.009705,0.740603,0.737871,17.41456,0.834586,709.782713,13.093225,6.869447,1
18302.916903,68.624774,8068.198776,0.715765,0.125831,-0.028062,0.015264,1.62583,0.944844,0.885392,1.124082,0.927231,1.056451,1.376259,0.943733,0.962638,31.973081,-0.391265,4.304881,709.782713,22.206336,6.85828,0.897331,0.908755,18.373281,0.571429,709.782713,13.081323,7.623507,1
24735.533846,57.832043,11227.6531,6.17886,0.093031,0.028589,0.081027,1.674418,0.965424,1.061637,1.10209,1.220286,1.156864,1.193585,0.926398,0.951383,16.020005,-0.394606,4.280172,709.782713,40.593724,6.191198,0.727516,0.751504,15.488118,0.78169,709.782713,13.298021,6.62319,1
49466.390664,177.412416,1114.626588,-0.684432,0.070038,-0.014749,-0.01164,1.399114,0.702641,0.849861,1.043802,0.936225,0.866247,1.106779,1.244903,0.954116,31.972087,-0.391552,3.906148,?,?,6.616795,0.74845,0.803165,19.237657,0.745098,709.782713,14.009755,7.099816,1
22631.865403,60.844727,9757.58088,1.86602,0.096683,-0.000593,0.027511,1.67592,0.981933,0.996949,1.059925,1.05677,1.054955,1.244714,0.967594,0.998002,16.016867,-0.394917,4.227795,709.782713,24.47005,6.949487,0.845285,0.866264,16.066377,0.687023,709.782713,13.201021,6.942288,1
22761.169297,179.062792,372.331976,0.13872,0.135194,0.007518,0.004725,1.396569,0.830766,0.839629,1.182291,0.83864,0.850831,1.181447,1.279028,0.867217,16.025093,-0.391365,3.966105,709.782713,30.462617,6.760133,0.89445,0.949598,18.607892,0.70922,709.782713,13.266351,7.250731,1
25648.553642,176.810489,1053.179022,1.976681,0.132559,0.022379,0.07711,1.420226,0.729596,0.726919,0.930455,1.041782,1.046207,1.194924,1.386199,1.019818,31.973087,-0.394005,4.473882,709.782713,26.988533,6.328096,0.820723,0.867502,18.918184,0.73125,709.782713,13.377943,6.661618,1
65449.488419,178.379363,1726.415247,-0.915465,0.091924,-0.011484,-0.011608,1.443007,0.72892,0.775886,0.992522,0.924297,0.897441,1.135321,1.244125,0.93353,31.973114,-0.394917,3.910536,?,?,6.693765,0.723211,0.774719,19.848737,0.783582,709.782713,14.27107,7.002459,1
34927.227585,58.430511,15767.210372,5.407974,0.111301,0.01279,0.052513,1.706549,0.984992,1.002671,1.115716,1.125506,1.261444,1.297422,0.952788,0.992458,16.027773,-0.394538,4.150283,709.782713,30.514572,6.609831,0.760961,0.756439,15.456176,0.781095,709.782713,13.640012,6.598904,1
27498.10351,172.846729,376.3804,0.797773,0.109907,0.030468,0.027652,1.40732,0.891044,1.025851,1.15743,1.024818,1.023617,1.15775,1.328965,1.050685,16.021279,-0.394368,3.922385,709.782713,28.811122,6.189762,0.799545,0.834441,17.24539,0.735632,709.782713,13.399457,6.710671,1
48504.081355,178.424297,1065.329409,1.581132,0.144538,0.019563,0.027466,1.400279,0.792278,0.930466,1.123196,0.877085,0.918871,1.244144,1.292745,0.90395,31.972087,-0.394692,4.078692,?,?,7.360735,0.845603,0.898766,19.466369,0.686667,709.782713,14.102733,7.184498,1
29588.439466,60.415824,13293.797982,3.189183,0.09911,0.011227,0.033252,1.691919,0.968073,0.977913,1.070196,1.044466,1.131265,1.168362,0.94068,0.999072,16.028463,-0.394606,3.903101,709.782713,32.113274,6.348047,0.751352,0.750411,15.878971,0.788235,709.782713,13.416886,6.813486,1
