@relation hetero_trainingSetWithClass-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute fragC numeric
@attribute IC5 numeric
@attribute SIC5 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data

0.015372,0.425952,0.573489,0.267632,0.326518,0.316459,0.017709,0.455899,0.004798,0.511854,0.828305,0.194012,0,1
0.05677,0.447877,0.633613,0.261215,0.270746,0.452229,0.017761,0.561088,0.01736,0.786402,0.86144,0.080444,0,1
0.018064,0.381763,0.700901,0.232601,0.334618,0.408447,0.159149,0.544177,0.002081,0.506366,0.880322,0.179518,0,1
0.341071,0.376578,0.509212,0.14338,0.235534,0.310761,0.999964,0.656553,0.006282,0.604405,0.946255,0.545655,0,1
0.019627,0.385446,0.606888,0.261112,0.140343,0.382048,0.017659,0.587191,0.000849,0.591367,0.840006,0.090316,0,1
0.898396,?,0,0.018067,0,0.114298,?,?,0.010952,0.376379,0.39199,0.342836,0.074027,1
0.034757,0.375847,0.524478,0.184139,0.275113,0.360417,0.185703,0.79864,0.013028,0.607654,0.872419,0.208304,0,1
0.042521,0.488498,0.445991,0.256735,0.311299,0.397094,0.1857,0.6519,0.013793,0.66532,0.908592,0.177909,0,1
0.018012,0.410673,0.621559,0.235666,0.301015,0.412625,0.017675,0.66416,0.002589,0.547547,0.798603,0.074565,0,1
0.028363,0.394359,0.510097,0.198307,0.223777,0.324722,0.185696,0.676166,0.000721,0.52505,0.712232,0.054395,0,1
0.02087,0.393932,0.570971,0.263401,0.357015,0.417475,0.01765,0.592261,0.011882,0.639473,0.900112,0.116904,0,1
0.018451,0.428833,0.420639,0.259886,0.252982,0.420024,0.159149,0.568902,0.004162,0.551538,0.964566,0.233307,0,1
0.022653,0.374287,0.598975,0.215135,0.35409,0.357869,0.159154,0.673277,0.005221,0.596247,0.923892,0.173291,0,1
0.015629,0.418485,0.685344,0.166145,0.302232,0.42525,0.159149,0.584425,0.001826,0.495567,0.925998,0.200298,0,1
