@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithoutNans50

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute fragC numeric
@attribute IC5 numeric
@attribute SIC5 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data

1515.719982,0.632707,1.050444,1.040877,1.158769,0.824165,16.002535,3.4769,119.1,4.670018,0.883569,8.310435,1396,1
4986.57969,1.268444,1.150147,1.015919,0.96084,1.177754,16.008407,4.279353,415.16,6.421519,0.906039,6.136363,12725,1
1741.428477,-0.648602,1.261731,0.904635,1.187512,1.063731,31.972072,4.150343,55.06,4.635007,0.918843,8.032985,676,1
28822.794578,-0.798951,0.943853,0.557635,0.835879,0.809324,126.905473,5.007623,154.08,5.260457,0.963554,15.042095,2601,1
1872.475704,-0.541824,1.105829,1.01552,0.498057,0.99498,15.996932,4.478482,26.03,5.17728,0.891504,6.325348,2087,1
75549.805572,?,0.099431,0.070267,0,0.297669,?,?,264.14,3.805739,0.587692,11.159443,462000000915,1
3140.973747,-0.820159,0.969169,0.716157,0.976339,0.938645,34.970157,6.091553,313.06,5.281182,0.913484,8.584039,3032,1
3791.898689,2.446278,0.839014,0.998495,1.104758,1.034165,34.969856,4.972127,331.08,5.649065,0.938014,8.002184,3148,1
1737.071765,0.18968,1.130158,0.916553,1.068262,1.074612,15.998711,5.065654,67.04,4.897724,0.863427,6.023819,1427,1
2604.870254,-0.283364,0.945321,0.771256,0.794154,0.845684,34.96938,5.157242,23.02,4.754203,0.804857,5.637691,1502,1
1976.70773,-0.295752,1.046269,1.024422,1.266996,1.087242,15.99593,4.517157,286.05,5.484172,0.932263,6.834339,2692,1
1773.89489,0.716237,0.796973,1.010752,0.897797,1.093882,31.972072,4.338959,104.1,4.923182,0.975971,9.062692,753,1
2126.157644,-0.865372,1.092707,0.836704,1.256618,0.932009,31.972573,5.135204,129.06,5.208411,0.948389,7.913766,1917,1
1537.252245,0.416173,1.235932,0.646174,1.072579,1.107493,31.972072,4.457378,49.05,4.566109,0.949817,8.430784,436,1
1228.830728,-1.248951,0.996174,0.993664,0.894151,1.005049,15.997935,3.704835,58.09,4.72641,0.945282,8.346774,701,1
4952.458917,-1.186552,1.09005,0.901121,0.815742,1.026373,16.008084,4.932887,842.14,6.546662,0.923696,6.430205,17028,1
2944.451406,-0.367352,0.887342,1.067868,1.197954,0.980792,31.973075,4.453143,261.14,5.563178,0.962261,9.655717,4309,1
8613.631432,-1.008901,0.431911,0.39439,0.94493,0.819281,78.918338,3.49999,385.07,5.651555,0.854392,6.493369,40000004849,1
2077.703192,0.532041,0.946666,1.127729,1.111904,0.977654,31.972072,4.698795,129.09,5.08863,0.943681,8.644974,1570,1
4364.683743,-0.056603,1.135538,1.023516,0.934288,1.175275,16.007398,5.278822,259.14,6.206257,0.901726,6.215773,8842,1
2889.280811,-1.769168,1.336349,1.192585,1.170575,0.897763,34.968854,4.785373,219.11,5.038319,0.907055,9.639493,2402,1
3687.75613,-1.954384,1.035246,0.732554,0.93356,0.781504,34.970158,5.980076,103.12,4.5625,0.760417,7.878175,5239,1
1909.139619,-0.405325,0.928907,1.165554,1.026275,0.978837,34.968854,6.307656,149.03,4.648956,0.899231,7.919223,689,1
3698.744389,-0.035326,1.188714,1.147365,0.32528,0.848593,31.973075,3.672877,184.1,5.3249,0.865873,7.509885,243000001773,1
1438.931109,0.274305,1.00952,1.137634,0.991887,0.763958,15.99492,5.25394,61.03,4.726144,0.865684,6.186111,865,1
4063.544099,-0.829094,0.983403,1.073087,0.543121,0.770434,31.974384,6.399344,261.09,5.554159,0.912393,8.002241,260000001458,1
