@relation amps_padel2d_WithoutNans50_WithoutNames

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute fragC numeric
@attribute IC5 numeric
@attribute SIC5 numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data

8252.199205,-1.548304,1.020318,1.069599,1.21478,1.01972,16.018754,3.840181,331.42,6.486703,0.837917,7.274519,96789,1
238.203861,1.643948,0.859513,1.365384,1.367531,1.107387,16.008766,4.40861,2608.39,5.712232,0.809639,7.085208,147929,1
425.260823,1.795281,0.893204,1.228894,1.229077,1.013657,16.024628,4.426168,2989.65,6.750815,0.886549,6.98341,553543,1
9246.826796,3.919725,0.986809,1.143582,1.511585,1.011464,16.009697,4.405204,352.36,5.778578,0.72131,6.387952,110420,1
7675.16409,-0.093564,1.043208,1.038152,1.296969,1.056906,16.00764,4.397327,98.39,6.249838,0.813093,6.742034,75637,1
6518.045072,0.344809,1.000641,1.0375,1.247556,1.010863,16.008559,4.149733,429.31,6.539958,0.878679,6.894698,44943,1
11864.282701,4.069857,0.954338,1.098737,1.293576,0.981295,31.973085,4.432417,133.5,6.009705,0.737871,6.869447,203954,1
8068.198776,0.715765,0.944844,1.124082,1.376259,0.962638,31.973081,4.304881,1125.35,6.85828,0.908755,7.623507,75826,1
11227.6531,6.17886,0.965424,1.10209,1.193585,0.951383,16.020005,4.280172,424.48,6.191198,0.751504,6.62319,221604,1
1114.626588,-0.684432,0.702641,1.043802,1.106779,0.954116,31.972087,3.906148,2735.1,6.616795,0.803165,7.099816,1720632,1
9757.58088,1.86602,0.981933,1.059925,1.244714,0.998002,16.016867,4.227795,905.46,6.949487,0.866264,6.942288,154856,1
372.331976,0.13872,0.830766,1.182291,1.181447,0.867217,16.025093,3.966105,699.52,6.760133,0.949598,7.250731,202622,1
1053.179022,1.976681,0.729596,0.930455,1.194924,1.019818,31.973087,4.473882,1108.47,6.328096,0.867502,6.661618,283831,1
1726.415247,-0.915465,0.72892,0.992522,1.135321,0.93353,31.973114,3.910536,2803.5,6.693765,0.774719,7.002459,4254470,1
15767.210372,5.407974,0.984992,1.115716,1.297422,0.992458,16.027773,4.150283,999.68,6.609831,0.756439,6.598904,561969,1
376.3804,0.797773,0.891044,1.15743,1.15775,1.050685,16.021279,3.922385,1206.55,6.189762,0.834441,6.710671,324656,1
1065.329409,1.581132,0.792278,1.123196,1.244144,0.90395,31.972087,4.078692,5029.09,7.360735,0.898766,7.184498,1804929,1
13293.797982,3.189183,0.968073,1.070196,1.168362,0.999072,16.028463,3.903101,508.6,6.348047,0.750411,6.813486,354197,1
15185.288385,6.245802,0.950272,1.123828,1.380454,0.947601,31.97309,4.417561,1654.57,6.593278,0.768003,6.748629,445524,1
9938.770113,0.07066,0.988901,1.040756,1.227339,0.988967,31.973083,4.085473,110.45,6.208653,0.790735,6.999395,108124,1
12812.116705,7.345308,0.963214,1.164222,1.567805,1.015019,16.013992,4.412264,799.47,5.51531,0.648568,6.186187,274201,1
1519.012579,3.042706,0.619148,0.914138,1.227987,1.023817,31.97311,3.925137,9345.18,7.168361,0.841005,6.923574,3073943,1
12273.956925,3.248536,0.964579,1.087803,1.264233,0.95429,16.02323,3.919124,1447.54,6.896703,0.824773,6.818443,288665,1
1349.018648,1.842261,0.768302,0.933819,1.186926,0.941138,31.9731,3.909606,2446.96,6.705988,0.830276,7.029336,1438868,1
16470.883397,0.81473,1.01569,1.075102,1.336783,1.005776,16.035408,3.919325,5434.77,7.306685,0.83114,7.263154,776745,1
8326.498537,2.862536,0.974612,1.111415,1.24495,0.989967,16.012648,3.911916,104.35,6.051805,0.774504,6.559589,87123,1
17789.039066,3.582649,1.007179,1.086537,1.296392,0.99419,16.027094,4.110891,1134.82,6.679749,0.749197,6.619069,804626,1
604.140047,0.096339,0.888676,1.161523,1.161362,0.970869,16.041099,3.901638,1289.94,6.63855,0.829236,6.782348,1072047,1
11846.224909,3.05108,1.006821,1.116914,1.271954,0.999363,31.972079,4.452385,142.52,5.898703,0.717676,6.836004,248157,1
16490.527879,2.191723,1.040567,1.098425,1.315421,0.99857,16.034214,3.793721,1978.75,6.772836,0.770987,6.95389,720961,1
12549.188569,0.393491,0.981888,1.087838,1.209227,1.013683,31.97208,4.018343,1122.63,6.905863,0.833033,7.243204,313941,1
9460.387895,3.710987,1.017066,1.138093,1.405287,1.019012,16.015776,4.397574,361.4,6.075704,0.759999,6.658855,133332,1
1195.426517,1.339152,0.587114,0.967659,1.18875,1.039763,31.973095,3.892419,1577.8,6.241977,0.7995,6.7508,725831,1
255.520638,2.165096,0.804017,1.332318,1.333503,1.067351,16.010783,3.786257,3203.38,6.056823,0.857168,7.281387,143632,1
394.669245,0.536518,0.871416,1.175208,1.17435,0.960198,16.024304,3.916508,1501.55,6.602352,0.896289,6.751713,309617,1
10101.623536,1.569029,1.027045,1.10635,1.282552,1.023455,16.018893,3.915217,391.44,6.226698,0.770935,6.803833,156794,1
12333.751971,4.735947,0.943738,1.070429,1.286461,0.946482,31.973086,4.466798,433.5,6.340895,0.771023,6.923413,239610,1
323.24063,1.973126,0.862242,1.208956,1.208694,1.06849,16.016997,4.153424,1686.45,6.577541,0.9087,6.794203,246629,1
8181.002687,2.33675,1.011046,1.067936,1.342504,0.975286,16.013702,4.499066,1518.35,6.657463,0.854132,7.138728,104274,1
7496.28996,1.770544,1.015751,1.082026,1.197487,0.992729,16.007606,4.368712,92.34,5.74811,0.749191,6.47974,62576,1
8971.312849,-0.786041,1.020005,1.059366,1.122497,0.957452,16.018804,3.900576,355.42,6.425388,0.815131,7.062952,124094,1
8289.282167,1.458114,1.013942,1.086345,1.27897,1.063648,16.014661,3.806751,102.37,5.506632,0.70767,6.672119,91290,1
11967.170862,3.216272,1.018233,1.073874,1.383701,0.985448,16.015062,4.099325,2142.53,6.898168,0.824948,6.864154,297169,1
8681.636443,1.811352,0.992876,1.025655,1.406793,0.987655,16.007713,4.391489,1849.38,6.622494,0.836925,6.904388,111787,1
