@relation TableS1_Prestwick_STRINGWithNames_Unique_ATC_padel2d_pos_WithoutNans50-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute ATSC2i numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute MPC9 numeric
@attribute TSRW numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data

0.013173,0.278105,0.495816,0.517054,0.698805,0.573489,0.267632,0.303387,0.326518,0.316459,0.017709,0.455899,0.253353,0.557964,0.828305,0.828305,0.182669,0.033708,0.457388,0.194012,0,1
0.054663,0.305677,0.594405,0.559293,0.678344,0.633613,0.261215,0.327069,0.270746,0.452229,0.017761,0.561088,1,0.857244,0.86144,0.86144,0.094587,0.154963,0.717277,0.080444,0,1
0.339599,0.216014,0.515795,0.533047,0.50462,0.509212,0.14338,0.319922,0.235534,0.310761,0.999964,0.656553,0.363242,0.658853,0.946255,0.946255,0.677955,0.049625,0.553614,0.545655,0,1
0.898169,?,0.40403,0.606411,0.637467,0,0.018067,0,0,0.114298,?,?,0.20962,0.410285,0.407598,0.39199,0.623309,0.020131,0.501279,0.342836,0.074027,1
0.032601,0.215094,0.337529,0.524576,0.454354,0.524478,0.184139,0.132379,0.275113,0.360417,0.185703,0.79864,0.638537,0.662394,0.827854,0.872419,0.151256,0.148876,0.592376,0.208304,0,1
0.026192,0.238375,0.499482,0.602196,0.534886,0.510097,0.198307,0.150901,0.223777,0.324722,0.185696,0.676166,0.208751,0.572349,0.709265,0.712232,0.062085,0.012172,0.393096,0.054395,0,1
0.009743,0.196498,0.559503,0.536502,0.482024,0.540763,0.255493,0.280412,0.251954,0.385914,0.017668,0.485778,0.158296,0.5676,0.91931,0.91931,0.190821,0.023876,0.448883,0.19591,0,1
0.054255,0.199204,0.519826,0.586441,0.598737,0.597373,0.231698,0.316005,0.22986,0.394102,0.017758,0.646757,1,0.878627,0.853821,0.887478,0.073561,0.211142,0.746859,0.095794,0,1
0.030252,0.234732,0.503072,0.608469,0.610326,0.475134,0.274572,0.375154,0.33756,0.3766,0.159158,0.58387,0.529898,0.710579,0.944348,0.944348,0.265102,0.097846,0.64394,0.264285,0,1
0.09802,0.206909,0.603095,0.556362,0.564126,0.200495,0.101406,0.268041,0.266263,0.314584,0.574947,0.458926,0.910238,0.72568,0.767081,0.785279,0.15581,0.255618,0.697022,0.099093,0.006409,1
0.047229,0.24821,0.582376,0.566497,0.635467,0.624803,0.263168,0.317858,0.263264,0.451277,0.017752,0.692103,1,0.820462,0.850078,0.85508,0.090712,0.11236,0.693882,0.084592,0,1
0.029592,0.173936,0.491936,0.323604,0.496302,0.745898,0.306639,0.391229,0.329845,0.344719,0.185692,0.62742,0.419667,0.620896,0.862939,0.862939,0.325564,0.080524,0.647372,0.263438,0,1
0.039137,0.165903,0.656603,0.524032,0.335829,0.564324,0.188355,0.365036,0.263059,0.300079,0.185703,0.784027,0.509148,0.539593,0.646699,0.646699,0.181935,0.021067,0.465257,0.171432,0,1
0.039268,0.249132,0.614854,0.526891,0.634179,0.65687,0.295012,0.101371,0.091658,0.325839,0.159158,0.481589,0.477447,0.669864,0.859808,0.80221,0.187976,0.07912,0.559069,0.152193,0.038936,1
0.01554,0.234729,0.481581,0.587598,0.553361,0.485843,0.278423,0.360462,0.31145,0.313694,0.185692,0.578316,0.16514,0.559965,0.952367,0.932333,0.19417,0.016386,0.419607,0.214458,0,1
0.026096,0.245319,0.653491,0.519371,0.605051,0.518853,0.32778,0.303727,0.283973,0.340524,0.185692,0.727469,0.31551,0.650216,0.815888,0.842501,0.093759,0.050562,0.4956,0.131227,0,1
0.164534,0.237663,0.515507,0.591777,0.534387,0.201247,0.835615,0.15689,0.350621,0.216329,0.999956,0.88021,0.084479,0.453528,0.960706,0.960706,0.846168,0.003745,0.321713,0.804169,0,1
0.021271,0.292515,0.741228,0.685509,0.701569,0.422845,0.341948,0.34187,0.423838,0.421795,0.017695,0.677058,0.6946,0.646369,0.825717,0.825717,0.137923,0.185861,0.670925,0.163786,0,1
0.028296,0.193523,0.508362,0.43575,0.439499,0.564654,0.468713,0.278638,0.395641,0.36713,0.185711,0.569481,0.286655,0.616911,0.967143,0.967143,0.323867,0.047753,0.528161,0.365818,0,1
0.000692,0.232502,0.531915,0.563797,0.425495,0.477323,0,0.626034,0,0.362471,0.017642,0.614032,0.08147,0.404786,0.949673,0.949673,0.181758,0.002809,0.348453,0.28939,0,1
0.017297,0.2631,0.461893,0.766272,0.662589,0.404465,0.324623,0.344731,0.34637,0.425154,0.044258,0.594296,0.362126,0.630428,0.863268,0.863268,0.164433,0.088951,0.591137,0.159842,0,1
0.454962,0.179678,0.506543,0.513611,0.342609,0.555427,0.308226,0.239305,0.068811,0.559099,0.999973,0.55819,0.19584,0.587048,0.959929,0.979965,0.853141,0.024345,0.452121,0.842537,0,1
0.024176,0.266177,0.49484,0.534313,0.744424,0.747781,0.225372,0.346703,0.249018,0.336724,0.159149,0.672528,0.215307,0.593997,0.762897,0.754034,0.088361,0.01264,0.377645,0.063634,0,1
0.018463,0.293232,0.369684,0.771647,0.709232,0.393402,0.396352,0.373113,0.477451,0.462552,0.044263,0.596484,0.378177,0.575674,0.772631,0.772631,0.18562,0.098315,0.609909,0.169611,0,1
0.021985,0.236971,0.548574,0.517755,0.582047,0.631448,0.25714,0.207985,0.120825,0.393038,0.01765,0.688106,0.422153,0.69322,0.831033,0.826506,0.01601,0.057116,0.566044,0.046368,0,1
0.039833,0.223151,0.571504,0.465182,0.486978,0.607059,0.191564,0.218581,0.235102,0.459841,0.185711,0.802848,0.24744,0.61054,0.885536,0.914153,0.289088,0.034644,0.463391,0.290309,0,1
0.004921,0.26348,0.491877,0.623608,0.689114,0.552599,0.283443,0.347866,0.282259,0.389166,0.017705,0.455198,0.120881,0.503223,0.943306,0.943306,0.213153,0.014513,0.371254,0.271001,0,1
0.041031,0.204796,0.584341,0.463464,0.468231,0.559404,0.235169,0.331221,0.196527,0.287892,0.18572,0.803034,0.265759,0.619302,0.885536,0.92846,0.282976,0.036985,0.483031,0.314397,0,1
0.025171,0.228361,0.570707,0.525641,0.519393,0.547016,0.291801,0.326288,0.212125,0.329785,0.185703,0.682388,0.1515,0.580511,0.929131,0.929131,0.238056,0.015918,0.399219,0.228526,0,1
0.037812,0.373063,0.46192,0.59434,0.85622,0.529552,0.284446,0.348117,0.305889,0.370515,0.185696,0.706,0.267963,0.692362,0.879254,0.887577,0.221931,0.031835,0.527266,0.129197,0,1
0.025196,0.24463,0.605881,0.351961,0.619602,0.714251,0.273601,0.534282,0.249335,0.314898,0.017659,0.566253,0.393535,0.526936,0.58797,0.58797,0.076742,0.025281,0.545636,0.085381,0,1
0.01556,0.175019,0.478191,0.486061,0.480509,0.584247,0.216679,0.334391,0.218834,0.418697,0.044258,0.537661,0.262615,0.581184,0.823477,0.823477,0.177956,0.044007,0.488564,0.160158,0,1
0.013339,0.258714,0.524607,0.782399,0.656247,0.397241,0.343446,0.323231,0.373393,0.449356,0.044243,0.586951,0.286716,0.555066,0.814663,0.814663,0.188567,0.060393,0.521942,0.177963,0,1
0.02723,0.216957,0.519471,0.629062,0.483014,0.499879,0.273396,0.146188,0.321843,0.333281,0.185692,0.646945,0.465327,0.634215,0.813286,0.813286,0.125339,0.078184,0.527086,0.119441,0,1
0.007532,0.217184,0.54322,0.699253,0.488272,0.420644,0.349114,0.282426,0.460311,0.441379,0.017675,0.585313,0.170234,0.522265,0.879524,0.879524,0.141835,0.018258,0.452386,0.177948,0,1
0.011535,0.163353,0.7563,0.646555,0.504945,0.449035,0.341112,0.299142,0.417038,0.382034,0.044261,0.490739,0.166609,0.558266,0.915938,0.915938,0.276956,0.027154,0.490325,0.258783,0,1
0.020101,0.238862,0.590173,0.559757,0.581106,0.501126,0.350143,0.212311,0.308654,0.296381,0.185696,0.776487,0.394821,0.572276,0.820385,0.833811,0.165767,0.078184,0.506059,0.176666,0,1
0.020467,0.154432,0.89889,0.473143,0.467687,0.496555,0.210228,0.306638,0.127143,0.322987,0.159149,0.547182,0.359697,0.622553,0.909847,0.897207,0.302613,0.053371,0.552317,0.276275,0,1
0.007422,0.245015,0.488296,0.635843,0.614741,0.419616,0.190746,0.349635,0.232005,0.325919,0.017701,0.505701,0.209543,0.562065,0.929295,0.950229,0.191595,0.024345,0.436532,0.23196,0,1
0.039996,0.190106,0.559916,0.431405,0.406065,0.592461,0.262626,0.357652,0.201847,0.356265,0.18572,0.804057,0.288136,0.628065,0.92846,0.942769,0.299487,0.034644,0.485616,0.331803,0,1
0.057872,0.148833,0.773652,0.580905,0.582224,0.357721,0.225748,0.266123,0.256207,0.021512,0.229921,0.00013,0.740833,0.672309,0.679787,0.679787,0.186474,0.393258,0.841436,0.202871,0.185066,1
0.006394,0.233141,0.495415,0.475611,0.556677,0.573112,0.23349,0.300375,0.392787,0.437298,0.017699,0.497767,0.064859,0.461486,0.845756,0.845756,0.17822,0.001873,0.334653,0.162734,0,1
0.010559,0.246696,0.668632,0.575415,0.54379,0.54407,0.271565,0.194999,0.364686,0.413306,0,0.753362,0.337024,0.496235,0.67763,0.703675,0.003832,0.047753,0.456127,0.102135,0,1
0.012142,0.274668,0.684109,0.529535,0.7445,0.519052,0.136433,0.466804,0.10907,0.383549,0.017659,0.659047,0.196392,0.53928,0.738671,0.797796,0.144819,0.027154,0.455433,0.148513,0,1
0.005839,0.237725,0.508431,0.596107,0.577815,0.458117,0.4382,0.537439,0.463588,0.361365,0.017675,0.71778,0.241999,0.420581,0.724326,0.724326,0.070253,0.040262,0.484944,0.197264,0,1
0.019067,0.251232,0.526833,0.667725,0.642767,0.437485,0.314305,0.32515,0.299714,0.376585,0.185692,0.898,0.25008,0.469265,0.678448,0.66051,0.10214,0.044007,0.557171,0.18788,0,1
0.151113,0.271267,0.673148,0.590504,0.681774,0.239979,0.288653,0.314785,0.370351,0.243284,0.574956,0.458926,0.436849,0.62996,0.707947,0.73447,0.265174,0.047285,0.631752,0.175777,0.005127,1
0.018578,0.253541,0.659374,0.609433,0.678426,0.610247,0.317881,0.243974,0.23591,0.484203,0.159149,0.769118,0.313187,0.503341,0.707606,0.707606,0.100543,0.050562,0.482237,0.122096,0,1
0.021923,0.264486,0.485472,0.664689,0.701459,0.441524,0.370672,0.413865,0.253521,0.250166,0.185703,0.570354,0.179625,0.550281,0.929295,0.929295,0.260836,0.018258,0.444168,0.289491,0,1
0.054765,0.270309,0.59987,0.565169,0.651917,0.618672,0.264505,0.332796,0.280142,0.43482,0.01777,0.554632,1,0.845703,0.851541,0.851386,0.099416,0.126404,0.702803,0.086,0,1
0.01048,0.248896,0.545276,0.521359,0.607754,0.55562,0.248466,0.299099,0.28125,0.394113,0.0001,0.841505,0.264032,0.648837,0.934887,0.947909,0.020272,0.048689,0.489039,0.145641,0,1
0.009212,0.237362,0.747868,0.627858,0.607455,0.417975,0.231794,0.300303,0.26124,0.321552,0.044268,0.472249,0.192293,0.559965,0.932333,0.932333,0.204938,0.02294,0.450054,0.249302,0,1
0.015182,0.217128,0.487898,0.5244,0.529573,0.551653,0.321932,0.322301,0.289798,0.379929,0.159149,0.520153,0.159668,0.537182,0.892262,0.892262,0.262926,0.020131,0.518894,0.233596,0,1
0.021931,0.2505,0.624245,0.808108,0.636711,0.483016,0.273099,0.319854,0.299475,0.379364,0.159149,0.654549,0.406732,0.602531,0.820388,0.820388,0.144761,0.06882,0.522499,0.139583,0,1
0.025653,0.198762,0.539768,0.247135,0.52172,0.760177,0.207232,0.444028,0.228076,0.357368,0.159158,0.616329,0.25875,0.60247,0.882451,0.882451,0.272484,0.049625,0.602022,0.249201,0,1
0.015907,0.270412,0.449142,0.750004,0.67262,0.403588,0.372488,0.39075,0.409258,0.457166,0.044252,0.588292,0.322202,0.624854,0.89251,0.89251,0.190479,0.070225,0.553915,0.176774,0,1
0.018276,0.262732,0.506456,0.486778,0.711316,0.635819,0.28063,0.445108,0.295182,0.373588,0.017642,0.743713,0.277,0.623495,0.773734,0.781886,0.044424,0.039326,0.458265,0.07355,0,1
0.019386,0.282716,0.688381,0.476957,0.703243,0.585149,0.339885,0.191557,0.43698,0.557452,0.159149,0.403485,0.319058,0.603925,0.903351,0.903351,0.289602,0.04073,0.507232,0.254244,0,1
0.00697,0.264575,0.48083,0.497353,0.687854,0.566899,0.239992,0.371236,0.253041,0.277234,0.017687,0.454855,0.182562,0.566513,0.979066,0.95813,0.189031,0.014981,0.404805,0.255348,0,1
0.034443,0.21997,0.579463,0.462467,0.509198,0.56308,0.217777,0.347667,0.179626,0.286465,0.185711,0.792439,0.24744,0.61054,0.885536,0.914153,0.249642,0.034644,0.463391,0.268909,0,1
0.017416,0.248787,0.645097,0.642629,0.609397,0.598561,0.24258,0.237599,0.223587,0.447747,0.159149,0.749201,0.299389,0.483493,0.698598,0.698598,0.106966,0.046816,0.468942,0.130958,0,1
0.024207,0.242643,0.570882,0.527001,0.605149,0.602696,0.262805,0.340238,0.329534,0.38519,0.017671,0.744432,0.485066,0.622349,0.714167,0.716512,0.035372,0.052434,0.592803,0.083847,0,1
0.026116,0.241776,0.698979,0.54589,0.581603,0.611535,0.278692,0.442448,0.221131,0.272773,0.185696,0.739046,0.35728,0.568928,0.823288,0.837143,0.208279,0.055712,0.464493,0.192265,0,1
