@relation amps_padel2d_WithoutNans50_WithoutNames-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute ATSC0m numeric
@attribute ATSC3e numeric
@attribute ATSC2i numeric
@attribute MATS3m numeric
@attribute MATS3e numeric
@attribute GATS3m numeric
@attribute GATS7m numeric
@attribute GATS5e numeric
@attribute GATS7e numeric
@attribute GATS5p numeric
@attribute BCUTw-1h numeric
@attribute BCUTp-1l numeric
@attribute EE_Dt numeric
@attribute IC5 numeric
@attribute SIC4 numeric
@attribute SIC5 numeric
@attribute MIC0 numeric
@attribute MPC9 numeric
@attribute TSRW numeric
@attribute AMW numeric
@attribute WPATH numeric
@attribute Class {0,1}

@data

0.249589,0.381162,0.413724,0.374054,0.392577,0.806507,0.458181,0.348473,0.356003,0.49957,0.000827,0.164674,0,0.649355,0.774332,0.723385,0.261452,0.117547,0.353291,0.598064,0.013821,1
0.000351,0.500806,0.59962,0.77747,0.760518,0.561582,0.831122,0.573705,0.565955,0.697308,0.000202,0.817395,0,0.440055,0.671642,0.667678,0.203146,0.273708,0.531434,0.510323,0.022827,1
0.006169,0.506478,0.529705,0.687137,0.656519,0.612897,0.659028,0.444984,0.375654,0.485895,0.001195,0.837557,0,0.720731,0.806356,0.81919,0.335205,0.294719,0.625527,0.463143,0.094259,1
0.280523,0.586101,0.429673,0.546641,0.722498,0.755469,0.551462,0.627725,0.763953,0.480949,0.00026,0.813484,0,0.457985,0.513383,0.49367,0.077474,0.143101,0.359019,0.187163,0.016221,1
0.231643,0.435685,0.494496,0.358055,0.467017,0.841372,0.418531,0.512156,0.468969,0.583445,0.000132,0.804439,0,0.585342,0.679409,0.674482,0.196664,0.077797,0.279109,0.351271,0.010096,1
0.195657,0.452115,0.498581,0.440852,0.499862,0.776537,0.417708,0.612769,0.401053,0.479593,0.000189,0.52013,0,0.663747,0.848774,0.803686,0.20244,0.116411,0.286189,0.422027,0.00469,1
0.361927,0.591728,0.377585,0.485529,0.659819,0.706012,0.494919,0.451822,0.464306,0.412901,0.999424,0.844733,0,0.520447,0.569919,0.526295,0.329628,0.097672,0.425093,0.410324,0.032693,1
0.243867,0.466018,0.449943,0.428436,0.525089,0.691551,0.526876,0.372755,0.577951,0.370819,0.999424,0.698284,0,0.749773,0.90306,0.862936,0.419294,0.16184,0.388096,0.759812,0.010129,1
0.342127,0.670772,0.385781,0.599286,0.746082,0.722897,0.499147,0.709708,0.326871,0.345433,0.000906,0.669911,0,0.569495,0.542102,0.553152,0.149455,0.146508,0.490879,0.29619,0.035802,1
0.027608,0.41354,0.526549,0.468586,0.43468,0.322647,0.425654,0.383096,0.207559,0.351597,0.999362,0.240423,?,0.684512,0.586599,0.654924,0.500136,0.46962,0.779419,0.517094,0.299792,1
0.296407,0.509129,0.417952,0.511278,0.566244,0.748042,0.445983,0.521698,0.397146,0.450584,0.000709,0.609767,0,0.774422,0.792431,0.779229,0.203538,0.173765,0.446868,0.444084,0.024047,1
0.004523,0.444391,0.533247,0.535739,0.489673,0.517797,0.600269,0.270894,0.310188,0.155592,0.001224,0.309271,0,0.723249,0.896936,0.943396,0.441236,0.168654,0.478283,0.587039,0.032459,1
0.025697,0.513277,0.55738,0.580558,0.732919,0.363703,0.28274,0.504465,0.328711,0.499791,0.999424,0.892347,0,0.606491,0.740222,0.781668,0.470256,0.200454,0.522275,0.314,0.04676,1
0.046635,0.404881,0.551833,0.478432,0.434787,0.362673,0.360998,0.369382,0.246789,0.305165,0.999426,0.245462,?,0.705313,0.532951,0.598886,0.557288,0.563884,0.887669,0.471971,0.746021,1
0.483309,0.641879,0.316767,0.551639,0.650262,0.752702,0.516327,0.600731,0.469592,0.43808,0.001392,0.520761,0,0.68263,0.613192,0.562874,0.146468,0.261215,0.6233,0.284934,0.095743,1
0.004649,0.469092,0.570311,0.604953,0.566718,0.609608,0.568923,0.48496,0.277617,0.569413,0.000985,0.259068,0,0.569107,0.695206,0.716538,0.313806,0.250994,0.534729,0.336735,0.05395,1
0.026075,0.498452,0.533147,0.572065,0.566093,0.459175,0.525759,0.315098,0.396363,0.238445,0.999362,0.438554,?,0.885561,0.793107,0.843258,0.521526,0.454855,0.811372,0.556342,0.314638,1
0.406385,0.55872,0.335388,0.546925,0.585537,0.726932,0.458933,0.507551,0.292203,0.452998,0.001435,0.236924,0,0.611883,0.592767,0.550999,0.18601,0.203861,0.539683,0.384387,0.059152,1
0.465211,0.673281,0.325894,0.549048,0.71483,0.699819,0.526555,0.634347,0.583717,0.336902,0.999425,0.827674,0,0.678157,0.627009,0.585655,0.220142,0.251562,0.598343,0.354328,0.075236,1
0.302042,0.44184,0.448084,0.352771,0.477915,0.758656,0.421814,0.549316,0.373265,0.430205,0.999424,0.44634,0,0.574212,0.653955,0.630437,0.392042,0.088586,0.337167,0.470551,0.015817,1
0.391405,0.71449,0.35115,0.635563,0.820008,0.719531,0.577486,0.77158,0.841225,0.488967,0.000529,0.821591,0,0.386837,0.334191,0.350369,0.039058,0.229983,0.50787,0.09365,0.045064,1
0.040185,0.553231,0.565197,0.553988,0.636841,0.195477,0.262167,0.470559,0.374156,0.508811,0.999426,0.262228,?,0.833572,0.688005,0.729469,0.423138,0.648495,0.88452,0.43541,0.538121,1
0.374668,0.560945,0.358749,0.575871,0.600716,0.72161,0.481133,0.576953,0.423975,0.35199,0.001107,0.255323,0,0.760157,0.719625,0.697492,0.168996,0.237365,0.554401,0.386685,0.047611,1
0.034898,0.508239,0.51052,0.565756,0.601573,0.422657,0.286982,0.384321,0.317718,0.322325,0.999425,0.244394,0,0.708616,0.649861,0.708333,0.547026,0.353208,0.719186,0.484428,0.250171,1
0.505194,0.469727,0.329986,0.394894,0.497681,0.799458,0.465119,0.401487,0.523692,0.468119,0.00187,0.255554,0,0.870954,0.74168,0.710035,0.203354,0.432141,0.718712,0.592797,0.133566,1
0.2519,0.546478,0.418333,0.567436,0.647339,0.736892,0.510904,0.645224,0.397471,0.432461,0.000445,0.247047,0,0.531824,0.644906,0.598462,0.137988,0.098807,0.332654,0.266712,0.012118,1
0.546189,0.573467,0.373232,0.482971,0.584072,0.786495,0.479537,0.602627,0.468176,0.441986,0.001349,0.475528,0,0.701525,0.574052,0.548608,0.159664,0.285633,0.648921,0.29428,0.138476,1
0.011732,0.442803,0.595518,0.526713,0.480745,0.606001,0.574083,0.403529,0.282581,0.389384,0.002226,0.235244,0,0.690391,0.666759,0.706284,0.422389,0.368541,0.699581,0.369955,0.185571,1
0.361365,0.553544,0.359949,0.41953,0.605602,0.78595,0.517838,0.540785,0.434587,0.453654,0.999361,0.867662,0,0.490448,0.530745,0.486511,0.267803,0.111868,0.480317,0.394824,0.040478,1
0.505805,0.521336,0.317068,0.362491,0.539374,0.837349,0.494526,0.443316,0.494331,0.451865,0.001795,0.111324,0,0.726682,0.628273,0.591534,0.187822,0.284497,0.650556,0.449461,0.123742,1
0.383227,0.45394,0.361276,0.447291,0.489038,0.747974,0.481177,0.423424,0.34837,0.485954,0.999361,0.369256,0,0.762633,0.75548,0.713764,0.340076,0.186826,0.542886,0.583551,0.052063,1
0.287165,0.578277,0.417245,0.4377,0.670932,0.801554,0.544542,0.504341,0.617849,0.497973,0.000641,0.804723,0,0.538283,0.60459,0.569887,0.144894,0.125497,0.412541,0.31272,0.020256,1
0.030121,0.489382,0.578832,0.506534,0.599207,0.146686,0.329649,0.487655,0.320225,0.544778,0.999425,0.224658,0,0.583218,0.589369,0.647704,0.556723,0.325951,0.638533,0.355334,0.1246,1
0.00089,0.520338,0.575991,0.829946,0.818116,0.477055,0.789431,0.505371,0.519184,0.607004,0.000328,0.102754,0,0.53318,0.762994,0.76131,0.195902,0.317433,0.557969,0.601247,0.02207,1
0.005217,0.4593,0.535187,0.572852,0.530798,0.579712,0.591338,0.382633,0.300433,0.365316,0.001175,0.25232,0,0.680609,0.825087,0.838378,0.348244,0.254969,0.574317,0.355757,0.051301,1
0.307107,0.497998,0.385352,0.405675,0.549227,0.816753,0.504518,0.453694,0.449154,0.507995,0.000836,0.250837,0,0.579089,0.645637,0.591431,0.165844,0.149915,0.427706,0.379913,0.024388,1
0.376527,0.616692,0.375835,0.531354,0.687828,0.689867,0.459227,0.527488,0.454526,0.334378,0.999424,0.884212,0,0.60995,0.656714,0.591605,0.301337,0.140261,0.473534,0.435336,0.038973,1
0.002996,0.513143,0.564907,0.758962,0.735876,0.565739,0.633889,0.500392,0.347638,0.609573,0.000717,0.524368,0,0.673904,0.838722,0.862827,0.250345,0.214083,0.517917,0.37545,0.040209,1
0.247375,0.526772,0.444918,0.423734,0.614117,0.792385,0.456084,0.56088,0.531556,0.399347,0.000511,0.921265,0,0.695503,0.783514,0.755329,0.156126,0.201022,0.441804,0.535129,0.015139,1
0.22608,0.505551,0.491699,0.472223,0.60579,0.799551,0.473849,0.737464,0.332234,0.438691,0.00013,0.771581,0,0.449751,0.567052,0.548596,0.147752,0.06644,0.281889,0.229704,0.007795,1
0.271954,0.409731,0.411497,0.383816,0.43384,0.806031,0.445278,0.442837,0.229163,0.359122,0.00083,0.234025,0,0.632785,0.749889,0.678497,0.211399,0.128904,0.402844,0.500008,0.018629,1
0.250743,0.493841,0.397399,0.448045,0.557921,0.796796,0.479295,0.423522,0.44423,0.598652,0.000571,0.126287,0,0.384491,0.495934,0.4668,0.175693,0.073254,0.315189,0.318867,0.012852,1
0.365126,0.559736,0.435284,0.42412,0.627959,0.803332,0.463571,0.606481,0.58818,0.422268,0.000596,0.462247,0,0.760553,0.718271,0.697837,0.143522,0.248154,0.539397,0.40787,0.049109,1
0.262945,0.50708,0.500832,0.487643,0.597712,0.76471,0.402774,0.669336,0.619919,0.427246,0.000136,0.797736,0,0.686052,0.753794,0.721431,0.125921,0.258376,0.479363,0.426518,0.016462,1
0.429768,0.634565,0.35938,0.44736,0.661678,0.792365,0.502785,0.649115,0.375465,0.445261,0.00125,0.248654,0,0.583956,0.522034,0.509472,0.164352,0.216922,0.592991,0.345148,0.07445,1
0.200256,0.498355,0.494873,0.409388,0.609631,0.73401,0.494523,0.417693,0.560897,0.338387,0.999361,0.824391,0,0.697588,0.914687,0.857306,0.305018,0.094265,0.263919,0.52337,0.004306,1
0.28998,0.359638,0.455113,0.379401,0.337177,0.701363,0.436314,0.402364,0.368846,0.367684,0.999487,0.615902,0,0.687856,0.812002,0.773256,0.515297,0.089154,0.298538,0.651026,0.011596,1
0.194618,0.412811,0.468945,0.317736,0.418358,0.769639,0.440034,0.315939,0.367073,0.355743,0.999361,0.262027,0,0.653338,0.887365,0.828481,0.356036,0.082907,0.247405,0.705541,0.004601,1
0.243438,0.583862,0.461542,0.611729,0.770136,0.701371,0.439538,0.724209,0.808025,0.370675,0.000071,0.818571,0,0.618072,0.694671,0.675004,0.056877,0.286769,0.491932,0.41165,0.013157,1
0.033301,0.45477,0.479636,0.51103,0.503495,0.407243,0.354011,0.358847,0.276236,0.252594,0.999425,0.483769,0,0.601909,0.603869,0.656152,0.616317,0.240772,0.664637,0.391852,0.166585,1
0.277269,0.495256,0.439047,0.432435,0.57194,0.698035,0.492309,0.505128,0.494842,0.256054,0.999424,0.611188,0,0.726344,0.833991,0.789953,0.334894,0.169222,0.420639,0.636092,0.015577,1
0.015254,0.40364,0.509864,0.469575,0.416957,0.584324,0.569948,0.319207,0.277121,0.23545,0.003098,0.141092,0,0.687686,0.636844,0.684161,0.470075,0.358887,0.736715,0.525804,0.243624,1
0.342311,0.676877,0.383028,0.534623,0.75455,0.753969,0.550938,0.569501,0.504119,0.507837,0.000905,0.102688,0,0.538362,0.558014,0.524765,0.138413,0.141965,0.476414,0.284537,0.037045,1
0.275944,0.560339,0.471703,0.507707,0.688094,0.747587,0.405134,0.681608,0.681614,0.395202,0.000201,0.465528,0,0.652226,0.696586,0.671531,0.08387,0.365701,0.575013,0.510447,0.021635,1
0.189093,0.430388,0.482006,0.317821,0.456035,0.824375,0.391594,0.533525,0.398462,0.276977,0.000252,0.779963,0,0.690354,0.819973,0.835689,0.192679,0.182283,0.377573,0.643192,0.0063,1
0.388095,0.583165,0.388781,0.598297,0.639687,0.648331,0.444212,0.558323,0.42927,0.389191,0.999424,0.801636,0,0.792459,0.779303,0.744677,0.332824,0.227144,0.529913,0.469553,0.041187,1
0.015072,0.439072,0.519893,0.520814,0.473604,0.610855,0.639642,0.37391,0.353881,0.32779,0.002864,0.261864,?,0.726248,0.641367,0.697563,0.458234,0.379898,0.774361,0.42689,0.318592,1
0.005558,0.444997,0.649276,0.535465,0.490752,0.644234,0.575068,0.515071,0.283728,0.565371,0.001125,0.259858,0,0.56338,0.634368,0.687892,0.396031,0.222033,0.564618,0.320602,0.072127,1
0.336958,0.584937,0.410176,0.496657,0.670596,0.740645,0.456008,0.628539,0.430021,0.349353,0.999361,0.476937,0,0.668454,0.720291,0.657773,0.220451,0.148211,0.455932,0.324148,0.028009,1
0.282845,0.636505,0.419551,0.558364,0.82112,0.76246,0.587195,0.757928,0.883305,0.505893,0.000197,0.799594,0,0.34866,0.372811,0.387854,0.025947,0.146508,0.376619,0.088077,0.015657,1
0.018677,0.41006,0.519581,0.485109,0.433836,0.600708,0.576924,0.35751,0.284906,0.304657,0.003628,0.245078,?,0.711187,0.597503,0.656469,0.450264,0.402612,0.808911,0.398324,0.439533,1
0.00751,0.519968,0.589065,0.705893,0.678234,0.595505,0.582796,0.568078,0.292124,0.694863,0.001343,0.605619,0,0.599547,0.623123,0.661642,0.290645,0.330494,0.650633,0.32804,0.131679,1
0.018711,0.492842,0.550707,0.542932,0.606543,0.257392,0.386749,0.401309,0.365704,0.425144,0.999361,0.463507,0,0.765381,0.819039,0.843612,0.472169,0.277683,0.637014,0.480361,0.111466,1
0.316361,0.351208,0.440501,0.315912,0.366201,0.832877,0.400222,0.425195,0.297232,0.5399,0.000907,0.136713,0,0.648438,0.670326,0.648855,0.2398,0.199886,0.476131,0.546694,0.031624,1
0.050734,0.490134,0.504721,0.521927,0.547537,0.306668,0.266209,0.39299,0.33695,0.32251,0.999489,0.227621,?,0.707679,0.596396,0.653407,0.601668,0.388416,0.795119,0.388514,0.441966,1
0.268507,0.431972,0.41012,0.298375,0.464305,0.851374,0.483492,0.358395,0.339171,0.566977,0.000956,0.238911,0,0.538992,0.634546,0.60018,0.246832,0.081204,0.360527,0.535223,0.020904,1
0.33723,0.514147,0.427559,0.368707,0.570106,0.782144,0.399069,0.520989,0.502975,0.376052,0.999361,0.593319,0,0.747096,0.766839,0.730188,0.284171,0.20954,0.501061,0.564537,0.034084,1
0.279588,0.571566,0.436019,0.435203,0.680647,0.792294,0.508355,0.597868,0.588044,0.347235,0.000514,0.267694,0,0.645882,0.729809,0.669134,0.090152,0.182851,0.449897,0.377717,0.019379,1
0.420519,0.474204,0.494515,0.382318,0.513149,0.805092,0.391935,0.504822,0.645167,0.510589,0.000744,0.936822,?,0.675392,0.587341,0.584635,0.164102,0.477002,0.698738,0.612084,0.08629,1
0.223559,0.606214,0.446297,0.635407,0.831558,0.71781,0.58047,0.740168,0.734198,0.401271,0.000066,0.836117,0,0.432966,0.578377,0.526031,0.044515,0.089722,0.264497,0.109145,0.006722,1
0.343399,0.442482,0.443818,0.423511,0.47849,0.725857,0.422318,0.462752,0.420035,0.396451,0.999424,0.012927,0,0.713094,0.753862,0.710216,0.344411,0.202726,0.450376,0.518557,0.024609,1
0.234507,0.543187,0.460283,0.383439,0.674141,0.823132,0.516394,0.625482,0.646294,0.426567,0.000255,0.26579,0,0.537612,0.641507,0.615491,0.061027,0.149915,0.366119,0.307431,0.0103,1
0.036921,0.454798,0.508408,0.505346,0.49953,0.304594,0.485617,0.397508,0.278798,0.374011,0.999425,0.170716,0,0.68684,0.595144,0.664467,0.517966,0.392959,0.760984,0.360668,0.305889,1
0.539701,0.46373,0.251861,0.452391,0.492002,0.74121,0.499624,0.476023,0.347224,0.414184,0.999425,0.224997,0,0.563668,0.532551,0.462026,0.308342,0.216922,0.616113,0.431585,0.109817,1
0.030928,0.460512,0.493001,0.51819,0.519729,0.375106,0.263498,0.339524,0.353174,0.199846,0.999425,0.490187,0,0.605714,0.674331,0.699789,0.633483,0.211811,0.624298,0.452576,0.107079,1
0.01475,0.386642,0.494817,0.444389,0.389331,0.588613,0.568539,0.313729,0.275673,0.22345,0.003022,0.247832,0,0.61934,0.582059,0.630869,0.470384,0.313458,0.724037,0.424727,0.236937,1
0.485633,0.414425,0.339084,0.350271,0.450034,0.762926,0.466548,0.451669,0.462821,0.380757,0.999488,0.524568,0,0.758603,0.687624,0.659577,0.386655,0.248154,0.59821,0.61544,0.088187,1
0.313281,0.593997,0.423208,0.410464,0.696539,0.821461,0.558121,0.582455,0.675375,0.420958,0.000583,0.610515,0,0.580566,0.605568,0.579162,0.097027,0.169222,0.470914,0.329044,0.029325,1
