FileName,TPClass1,FPClass2,FPClass1,TPClass2
hetero_trainingSetWithClassNominal_Normalized.outTestWithConfusionMatrix,4368,104,34,8220
hetero_trainingSetWithClassNominal_Normalized_selectAttr.outTestWithConfusionMatrix,4469,3,1,8253
hetero_trainingSetWithClassNominal.outTestWithConfusionMatrix,4471,1,3,8251
hetero_trainingSetWithClassNominal_selectAttr.outTestWithConfusionMatrix,4469,3,1,8253
homonpqc_trainingSetWithClassNominal_Normalized.outTestWithConfusionMatrix,924,2,57,198
homonpqc_trainingSetWithClassNominal_Normalized_selectAttr.outTestWithConfusionMatrix,912,14,179,76
homonpqc_trainingSetWithClassNominal.outTestWithConfusionMatrix,926,0,0,255
homonpqc_trainingSetWithClassNominal_selectAttr.outTestWithConfusionMatrix,903,23,84,171
homopep_trainingSetWithClassNominal_Normalized.outTestWithConfusionMatrix,3497,49,26,7973
homopep_trainingSetWithClassNominal_Normalized_selectAttr.outTestWithConfusionMatrix,3358,188,30,7969
homopep_trainingSetWithClassNominal.outTestWithConfusionMatrix,3499,47,20,7979
homopep_trainingSetWithClassNominal_selectAttr.outTestWithConfusionMatrix,3424,122,11,7988
